Indv_ID,Median Number of Roots,Maximum Number of Roots,Number of Root Tips,Total Root Length,Depth,Maximum Width,Width-to-Depth Ratio,Network Area,Convex Area,Solidity,Lower Root Area,Average Diameter,Median Diameter,Maximum Diameter,Perimeter,Volume,Surface Area,Holes,Average Hole Size,Computation Time,Average Root Orientation,Shallow Angle Frequency,Medium Angle Frequency,Steep Angle Frequency,Fine Diameter Frequency,Medium Diameter Frequency,Coarse Diameter Frequency
160_271_1,1.333333333,7.666666667,72,6027.346667,1942.666667,642.3333333,0.337494,114327.6667,608124,0.186775,61243.66667,27.2687,13.22063333,131.056,9361.18,8766666.667,521791,15.66666667,1061.477667,0.149666667,58.22263333,0.184487667,0.236488333,0.579023667,0.1186536,0.274584,0.606762333
160_271_2,1.666666667,8.666666667,89.66666667,6124.556667,1498.666667,413.3333333,0.271224667,107012.3333,402336.3333,0.339596333,41953.66667,31.37513333,16.9778,119.304,8587.67,8426666.667,549865,21.66666667,813.0933333,0.120333333,57.09093333,0.235689667,0.182359333,0.581951,0.140089367,0.300209667,0.559701333
160_271_5,3,13.5,156.5,10633.905,1523,866.5,0.5647725,110906.5,828211.5,0.137189,74258,17.16215,9.89949,112.5835,15623.7,5540000,540752,72,2237.943,0.1625,53.0986,0.2410765,0.293106,0.465817,0.197978,0.325394,0.4766285
160_271_7,3,11.66666667,197.6666667,15029.36333,2025,1035.666667,0.544554333,168416.3333,1075984.667,0.148296667,138476.6667,17.2884,11.65853333,121.4780333,21667.4,8156666.667,817762,93.66666667,765.5523333,0.212666667,55.71876667,0.201371333,0.264966333,0.533662333,0.188319,0.259664333,0.552016667
160_271_11,3,16.33333333,213.6666667,14978.97667,1663.333333,1198.666667,0.755671333,146661.3333,1191514.333,0.124413667,135347.6667,15.22673333,10.14807,118.3126667,22509.13333,5880000,692567,90,1417.320667,0.217,51.00483333,0.245865333,0.326259,0.427875667,0.206259667,0.301019667,0.492720667
160_271_12,3.666666667,19.33333333,266.3333333,22097.16667,2237.666667,1195,0.542334333,224600,1573333.333,0.145804333,175374,17.16113333,9.64809,134.3946667,31959.73333,12633333.33,1138533.333,162.6666667,1175.857,0.263333333,53.9314,0.220932333,0.292720667,0.486346667,0.213088333,0.336739333,0.450171333
160_271_13,3,14,145,14380.93333,2057.333333,837.6666667,0.406383667,214982.3333,1048102.667,0.214278333,142826.6667,25.76263333,13.1388,172.214,20472.66667,21466666.67,1187175.333,58.33333333,1493.593,0.201333333,55.3446,0.221404,0.25019,0.528406333,0.124071367,0.254275,0.621653667
160_271_14,5,17.33333333,251.3333333,21115.73333,1825.666667,894.3333333,0.504062,181376.3333,1102102.333,0.169862667,156618,14.37463333,9.087573333,118.811,30262.2,7580000,920431.6667,194.3333333,653.5126667,0.216333333,52.82006667,0.231506667,0.29846,0.470033333,0.217336667,0.352096667,0.430567333
160_271_15,3,11.66666667,114,9713.24,1676.666667,1170.333333,0.710595,129040,1068272,0.1230387,85616.33333,18.9087,10.25676667,125.1686667,15752.73333,7876666.667,578433.3333,28.33333333,1118.2,0.194,57.4992,0.172537367,0.286814,0.540649,0.139655333,0.377432667,0.482911667
160_271_16,4,18.33333333,245.6666667,25019.56667,2246.333333,1266.666667,0.569636333,297583.6667,1793333.333,0.169676333,253644.6667,20.9694,12.0742,164.7456667,36628.5,19966666.67,1510000,150.3333333,1952.646667,0.283666667,53.063,0.220669,0.304372667,0.474959,0.133840733,0.278458333,0.587700667
160_271_17,1.333333333,10.33333333,59.66666667,6767.95,1572.666667,811.6666667,0.502032667,120570.3333,684734.6667,0.219069,84025.33333,28.24273333,10.066,137.0453333,10762.30667,9926666.667,556042.3333,18.33333333,1268.332333,0.150666667,56.53683333,0.215266667,0.241979667,0.542753,0.146549333,0.368026333,0.485424667
160_271_19,2.333333333,12,94.33333333,11583.27667,2194,1100.333333,0.514843,172687.6667,1373333.333,0.126557667,113688.6667,21.54743333,11.1398,139.6613333,18814.8,11620000,776937.6667,35.66666667,3383.854667,0.224,56.66183333,0.183249,0.278310667,0.53844,0.1421,0.326411,0.531488667
160_271_20,4,20.33333333,246,20427.36667,1864.666667,1129.666667,0.624476333,219975.6667,1317207,0.167976,176519,17.38393333,10.25676667,141.801,29252.06667,13626666.67,1133848,141.6666667,711.7266667,0.233,54.26603333,0.215354,0.284098667,0.500547333,0.185613,0.332740333,0.481646667
160_271_22,1,4.333333333,31.33333333,2801.856667,1187.333333,369.6666667,0.310645333,94568.33333,271066.3333,0.416955,59078,57.86493333,62.60733333,149.3543333,4037.75,9736666.667,446050,3,NA,0.105666667,58.02496667,0.246252,0.162516667,0.591231333,0.044605933,0.120100133,0.835293667
160_271_24,1.5,15,199.5,13686.37,1876,619,0.325198,153424.5,724967,0.2211965,124881.5,22.37055,11,130.616,19226.885,10310000,798648.5,96.5,854.875,0.16,55.3643,0.2307495,0.224669,0.544581,0.168065,0.3296175,0.5023175
160_271_26,1,5,28,3209.116667,1184,424.3333333,0.357626,104926.6667,307826.3333,0.341875,79396,51.92116667,45.42246667,150.155,4560.97,11660000,516913.6667,3,NA,0.101666667,54.8155,0.252783,0.209149667,0.538067333,0.063366033,0.170170333,0.766463667
160_271_27,2.666666667,13.33333333,204,15755.43333,2160,1040.666667,0.47951,201004.3333,1375745,0.150366333,138123.6667,18.90036667,10.00862667,141.7806667,24043.03333,12890000,941358.6667,74,1918.08,0.225666667,56.22826667,0.195406667,0.268920333,0.535673,0.170569333,0.350864333,0.478566667
160_271_28,1,10.5,97,9060.375,1876,1158,0.6176705,171900,1170000,0.1471455,99633.5,31.743,14.8884,153.231,12413.405,16550000,883779.5,37,457.15035,0.2145,48.6763,0.2729935,0.3371375,0.389869,0.1446205,0.173604,0.6817755
160_271_29,2.333333333,10.33333333,102,9543.96,1532.666667,904,0.566096,159835.3333,810517.3333,0.209137,132641.6667,27.89976667,16.54016667,134.3643333,12967.94667,11523333.33,801746.6667,47,NA,0.177,55.7779,0.216251667,0.237054667,0.546694,0.0653939,0.172906567,0.761699667
160_271_30,1,7.5,42,4348.215,1071.5,571,0.530695,112562,324591,0.3690445,73101.5,47.17935,21.38885,176.7315,5568.305,15450000,650184.5,11.5,290.0835,0.105,54.4451,0.2271055,0.255213,0.5176815,0.0614356,0.1593208,0.7792435
160_271_32,1.5,7,53.5,4828.285,1405.5,825,0.5858585,104435.5,600131.5,0.1740555,67037.5,32.36415,15.426,132.83,7436.71,7755000,482626,5.5,3394.9105,0.1405,52.13385,0.254787,0.2830085,0.4622045,0.0763558,0.2141815,0.709463
160_271_33,2,10.66666667,158.3333333,10481.98333,2015.333333,692.3333333,0.353844333,131040.6667,711831.6667,0.203011,86543,23.16806667,10.29843667,142.3983333,15353.95333,10820000,693135,48.66666667,1636.769333,0.168,55.35346667,0.202961333,0.268647,0.528391667,0.181079667,0.319838667,0.499081667
160_271_37,1.666666667,11,129.3333333,10615.14333,2071.333333,859.3333333,0.404451,163595.3333,1083428.333,0.188647667,106816.6667,27.80413333,14.94426667,136.6726667,15182.79333,11580000,812068,45,1251.307667,0.199666667,53.42633333,0.236380333,0.268966333,0.494653667,0.101830967,0.238337,0.659832
160_271_39,3.666666667,18.33333333,182.6666667,20296.78333,1642.333333,1631,0.957264,325087,1680639.333,0.220720667,223260.3333,34.53663333,19.66443333,178.917,27877.44333,31833333.33,1795509.333,93,1091.754333,0.271333333,44.19476667,0.29497,0.418277,0.286753,0.077488367,0.226631333,0.695880333
160_271_41,3,11,68.66666667,11061.26667,2056,897.3333333,0.4376,192589.3333,1033709.667,0.185426667,140993.6667,27.75906667,12.71403333,183.3243333,17476.93333,18966666.67,955757,28,1982.203333,0.187,61.48433333,0.156825667,0.191913,0.651261,0.0653308,0.288635333,0.646034
160_271_44,4.666666667,18,268.6666667,28143.00667,2368.666667,855,0.369365333,311383.6667,1268550.333,0.237439,263329.6667,21.34853333,10.99186667,170.5263333,37231.93333,25233333.33,1783982.667,238,1066.756333,0.237,54.81753333,0.221486,0.263637667,0.514876,0.166381,0.310456,0.523163333
160_271_47,2.666666667,15.66666667,173,17757.46333,2074.333333,1187,0.578585667,289645,1491342.667,0.194901333,210437,29.24163333,15.07716667,194.2146667,23661.36667,30900000,1616666.667,92.66666667,1177.353333,0.244,50.22166667,0.28773,0.266672,0.445598,0.092442833,0.204043,0.703514667
160_271_48,1,6.666666667,42.66666667,4799.22,1381.333333,772,0.560044333,140461,580283.3333,0.260472667,71371,51.5352,24.26073333,187.3133333,6706.323333,19166666.67,748891.6667,2.666666667,NA,0.138333333,51.25106667,0.245788333,0.321384333,0.432827333,0.049623667,0.203218,0.747158
160_271_49,2.333333333,12.66666667,178,16029.55667,2054.333333,860.3333333,0.413756667,215336.3333,1045012.667,0.217424,163250,25.05373333,13.64636667,177.7633333,22714.2,19400000,1184004,76.66666667,2446.433333,0.205333333,52.8524,0.238128667,0.269104667,0.492767333,0.0973313,0.221843667,0.680825333
160_271_50,3.333333333,17.66666667,292.3333333,23195.43333,2182,1126.333333,0.53375,280665,1337226,0.218409,226106,21.4352,11.1398,180.2766667,31648.9,26033333.33,1613333.333,140,2066.263333,0.270333333,52.40923333,0.244875333,0.275012,0.480112333,0.164520333,0.298639333,0.536840333
160_271_52,1.5,9,63.5,6305.35,1350,601,0.445808,157705.5,499357.5,0.31917,83156.5,44.57795,19.63205,166.474,8407.49,20350000,876174.5,10.5,1012.25,0.146,52.7803,0.269451,0.2336965,0.4968525,0.05277795,0.158656,0.788566
160_271_56,2.333333333,16.33333333,227.3333333,23131.66667,2486,1244,0.502639333,321162,1846666.667,0.180913,252349.3333,24.11383333,12.90486667,192.4153333,32198.33333,32166666.67,1773333.333,133,2678.156,0.319666667,52.58323333,0.239487667,0.287852667,0.472659667,0.135226333,0.256892667,0.607880667
160_271_57,3,8,102,8914.61,1546,811,0.52458,173056,772372,0.224058,118303,34.4376,14.4222,181.604,11525.9,20800000,977762,39,642.462,0.162,49.7119,0.264713,0.339422,0.395865,0.075723,0.232243,0.692035
160_271_58,1.666666667,9.333333333,57.33333333,6062.476667,1284.666667,812.3333333,0.642749,85621.66667,569277,0.152400667,53050,21.92673333,9.946526667,114.4853333,10027.30333,5450000,397262,10,4268.213333,0.145,55.2931,0.218556,0.253563,0.527880667,0.1399661,0.383006333,0.477028
160_271_60,2.5,10.5,128,12260.965,1760.5,1192.5,0.661488,236188,1215982,0.2547355,155785.5,41.86625,25.2354,183.414,17253.53,23950000,1220000,42,835.97,0.247,51.4172,0.251344,0.2973875,0.451268,0.0872099,0.17243005,0.74036
160_271_61,3.666666667,13.33333333,206,19916.18,2280.666667,874,0.386312333,286786,1274228.333,0.218795333,166736.3333,26.74793333,12.5273,170.593,27532.1,25766666.67,1519943.333,115.3333333,1933.233333,0.243666667,55.84316667,0.215789,0.243370333,0.540840667,0.130786333,0.268622667,0.600591333
160_271_62,3.666666667,14.66666667,199.3333333,15943.87667,2102.666667,948.6666667,0.445461667,191162,1358032.333,0.148316633,136659,21.01203333,10.198,152.111,23690.2,14000000,987970.6667,73.33333333,2559.553333,0.238333333,55.70396667,0.215710333,0.243702333,0.540587333,0.152757,0.341805667,0.505437333
160_271_63,2.666666667,11.33333333,144,12702.63333,2038,835,0.406985333,185951.3333,977072.3333,0.200959333,124927.3333,25.323,12.3239,167.0253333,18775.5,18493333.33,1024578.333,39,3463.7,0.203666667,55.25706667,0.218008333,0.247176333,0.534815333,0.103972433,0.262933333,0.633094333
160_271_64,2.166666667,16.33333333,243.6666667,17588.3,2235,1332,0.617068667,256365.6667,1706666.667,0.150317,198020.3333,23.8492,13.2515,181.0046667,25024.43333,22366666.67,1333333.333,72.66666667,1072.365667,0.293666667,50.90043333,0.239593,0.331142667,0.429264333,0.128683333,0.249926,0.621391
160_271_65,1,5,63,4201.98,1154.5,488,0.405536,107884,353888.5,0.4447185,65574,56.2463,49.65195,161.6225,5470.6,14300000,605188,7,NA,0.1275,51.5211,0.2894925,0.2526135,0.4578945,0.08382545,0.17551845,0.7406555
160_271_67,6.333333333,23.33333333,436.6666667,39753.7,2438.666667,1057,0.4432,422905.6667,1636666.667,0.255596333,375615,18.44826667,11.2758,189.605,52271.56667,32400000,2426666.667,342.6666667,1163.486,0.321333333,51.6156,0.249321333,0.294708,0.455970667,0.16197,0.306009667,0.53202
160_271_69,3.666666667,12.66666667,172.3333333,18845.48333,1723,756.3333333,0.482348333,258127,880182.3333,0.315950333,188904,40.75856667,21.8031,182.5063333,23884.51667,24066666.67,1444332.667,165.6666667,2037.906333,0.199,50.41596667,0.307328,0.222791667,0.469880333,0.0905846,0.181605667,0.72781
160_271_72,2.333333333,8.333333333,64.33333333,8667.453333,1627,973.6666667,0.588258667,182739.3333,958448.6667,0.232884,126445,38.46076667,21.85143333,176.098,12553.01,19366666.67,964267,19,1432.398667,0.201,53.27076667,0.241873,0.267732667,0.490394333,0.051764933,0.186582,0.761653333
160_271_73,2.666666667,15.33333333,258,17939.48,1864,727,0.399113,204037.6667,908792.3333,0.234363,159816.3333,25.1175,10.98142333,173.802,23940.65667,19000000,1185739,134.3333333,639.051,0.203,52.6681,0.246081667,0.274707,0.479210667,0.196597333,0.286307333,0.517095333
160_271_74,2,12.66666667,119,13012.66333,1520,1090,0.704281333,253118.6667,972544.6667,0.311258,175253,45.96163333,31.59066667,203.137,16574.86333,34133333.33,1497795.333,57.33333333,923.134,0.223,43.41483333,0.397963,0.26286,0.339177,0.049004967,0.151686767,0.799308
160_271_75,6.666666667,26.66666667,349,41320.86667,2408.333333,1419.666667,0.594459,435357.3333,2120000,0.204784,348245.3333,19.5883,11.32093333,188.281,52120.23333,36766666.67,2613333.333,405.6666667,1099.549333,0.407666667,51.7905,0.24406,0.307767,0.448173,0.151039,0.312160333,0.536800667
160_271_115,2.666666667,16.33333333,273,18603.76667,2281.333333,614.6666667,0.282242667,230943,841652.3333,0.273101,184811.3333,19.5146,12.91003333,125.671,24725.66667,12596666.67,1148806.667,130,1507.716667,0.205666667,55.86806667,0.217047667,0.243310667,0.539641667,0.125481,0.271337667,0.603181333
160_271_116,3.333333333,11.33333333,171.3333333,13710.96333,1874.666667,630.3333333,0.332790333,169603,683986,0.284831333,128313,21.04983333,12.21473333,126.6453333,19033.06,11626666.67,903065,78,1191.503,0.186666667,53.59573333,0.244269333,0.250142,0.505588333,0.096218267,0.305677333,0.598104333
160_271_118,2.5,8.5,140,11052.36,1476,961.5,0.555918,169751,876301.5,0.3606445,130117.5,42.4719,46.05125,140.619,15296.605,11300000,848007,52,NA,0.2225,50.85685,0.265975,0.28959,0.4444345,0.10686255,0.1420971,0.7510405
160_271_119,1.666666667,16,228.6666667,21019.62,2126,679.3333333,0.333232667,227286.3333,984548.3333,0.287522667,186469.3333,32.5123,31.76203333,135.2343333,27995.94667,13166666.67,1187283,204.6666667,NA,0.234333333,52.05376667,0.248722667,0.285409333,0.465867667,0.132102467,0.266935667,0.600962
160_271_121,2,14,222,17555.85,2534,957,0.376382,219613.5,1425000,0.164545,130384,20.40035,10.38515,141.704,25010.95,16400000,1140000,105.5,784.374,0.2825,52.63185,0.2466965,0.275247,0.478057,0.1946895,0.308125,0.4971855
160_271_122,1,5.666666667,27.66666667,3090.596667,1174.666667,439,0.344114333,105528.3333,317666.3333,0.460711667,44267.66667,57.90403333,54.57873333,138.865,4046.693333,10896666.67,518051,6.666666667,NA,0.124666667,54.82183333,0.246437,0.258030333,0.495532333,0.051123167,0.0951312,0.853745667
160_271_125,4,20,307.3333333,26852.9,2185,1012.333333,0.471758,287336,1476666.667,0.201776667,234395.3333,18.6424,10.99186667,157.899,35583.43333,20233333.33,1593333.333,237.3333333,772.7253333,0.296666667,52.7113,0.245212667,0.264811,0.489976333,0.167969667,0.309896667,0.522133667
160_271_126,3.333333333,12.66666667,151,13060.12333,1313.333333,744.6666667,0.569873,152407,597703,0.304874333,112254,29.7965,25.05873333,139.582,16592.38,10990000,850160,121,NA,0.167666667,50.0023,0.292655333,0.271568667,0.435776,0.129420567,0.285026667,0.585553
